Command,RegisterAddress,Timestamp,DataElement0
2,10,1979648.100480,225
1,0,1979648.100512,1056
1,32,1979648.101504,1
3,37,1979648.101952,1
3,34,1979648.100832,6264,4477,422,3436,5043,171,-503,283,153,104
1,1,1979648.102496,1
1,33,1979648.103488,0
1,2,1979648.104480,1
1,34,1979648.105504,6264,4477,422,3436,5043,171,-503,283,153,104
1,3,1979648.106496,0
1,35,1979648.107520,122
3,34,1979648.105920,6515,3865,500,3440,4436,578,-501,295,155,105
1,4,1979648.108480,1
1,36,1979648.109504,0
1,5,1979648.110496,4
1,37,1979648.111488,1
3,34,1979648.110848,6372,4160,539,3116,4311,982,-501,295,155,106
1,6,1979648.112480,1
1,38,1979648.113504,1
